problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.50794,0,0,0.69121,0,0,0.33245,0,0,0.40229,0,0,0.55607,0,0,0.44725,0,0,0.51189,0,0,0.52487,0,0,0.42261,0,0,0.5458,0,0
1,dart,1184,0.5012,0,0,0.33219,0,0,0.40051,0,0,0.51759,0,0,0.45654,0,0,0.67274,0,0,0.53646,0,0,0.68421,0,0,0.50748,0,0,0.60187,0,0
2,dart,301,0.39066,0,0,0.45681,0,0,0.43384,0,0,0.39716,0,0,0.68832,0,0,0.63689,0,0,0.43348,0,0,0.40276,0,0,0.42175,0,0,0.41535,0,0
3,dart,471,0.34139,0,0,0.43364,0,0,0.64583,0,0,0.67521,0,0,0.5694,0,0,0.68135,0,0,0.48698,0,0,0.5944,0,0,0.64224,0,0,0.65052,0,0
4,dart,611,0.54825,0,0,0.68816,0,0,0.46947,0,0,0.53594,0,0,0.50647,0,0,0.4533,0,0,0.12676,0,0,0.70487,0,0,0.41883,0,0,0.64977,0,0
5,dart,564,0.63638,0,0,0.55862,0,0,0.64091,0,0,0.3419,0,0,0.41383,0,0,0.55232,0,0,0.48453,0,0,0.57984,0,0,0.51333,0,0,0.57025,0,0
6,dart,852,0.37186,0,0,0.64074,0,0,0.51766,0,0,0.63173,0,0,0.34621,0,0,0.5024,0,0,0.34436,0,0,0.39347,0,0,0.4389,0,0,0.57095,0,0
7,dart,547,0.53319,0,0,0.44881,0,0,0.52763,0,0,0.57399,0,0,0.3315,0,0,0.28828,0,0,0.54361,0,0,0.46735,0,0,0.30856,0,0,0.34412,0,0
8,dart,598,0.4188,0,0,0.7049,0,0,0.61155,0,0,0.38566,0,0,0.43065,0,0,0.71113,0,0,0.64367,0,0,0.48064,0,0,0.61539,0,0,0.35611,0,0
9,dart,807,0.57264,0,0,0.39635,0,0,0.67909,0,0,0.39608,0,0,0.54086,0,0,0.48665,0,0,0.44916,0,0,0.63749,0,0,0.536,0,0,0.62026,0,0
10,dart,798,0.40641,0,0,0.2896,0,0,0.44114,0,0,0.39076,0,0,0.72172,0,0,0.53504,0,0,0.51477,0,0,0.54714,0,0,0.05757,0,0,0.5454,0,0
11,dart,629,0.52847,0,0,0.32841,0,0,0.58644,0,0,0.70653,0,0,0.581,0,0,0.55194,0,0,0.56736,0,0,0.64781,0,0,0.54922,0,0,0.352,0,0
12,dart,534,0.5927,0,0,0.56159,0,0,0.52326,0,0,0.4587,0,0,0.6097,0,0,0.52229,0,0,0.59812,0,0,0.30925,0,0,0.53008,0,0,0.42355,0,0
13,dart,491,0.30645,0,0,0.37298,0,0,0.29693,0,0,0.29714,0,0,0.16273,0,0,0.3564,0,0,0.6388,0,0,0.48866,0,0,0.47077,0,0,0.4557,0,0
14,dart,381,0.16429,0,0,0.36274,0,0,0.53706,0,0,0.48668,0,0,0.51883,0,0,0.48372,0,0,0.65761,0,0,0.518,0,0,0.5123,0,0,0.40698,0,0
15,dart,542,0.46129,0,0,0.44654,0,0,0.51697,0,0,0.49647,0,0,0.62771,0,0,0.55239,0,0,0.69008,0,0,0.39162,0,0,0.4917,0,0,0.32849,0,0
16,dart,319,0.47629,0,0,0.34713,0,0,0.62554,0,0,0.40472,0,0,0.54402,0,0,0.46987,0,0,0.44157,0,0,0.53899,0,0,0.41886,0,0,0.64069,0,0
17,dart,636,0.54373,0,0,0.60465,0,0,0.47679,0,0,0.38068,0,0,0.30644,0,0,0.3692,0,0,0.35548,0,0,0.37729,0,0,0.57425,0,0,0.49306,0,0
18,dart,486,0.10522,0,0,0.35856,0,0,0.3239,0,0,0.42818,0,0,0.33359,0,0,0.32781,0,0,0.45323,0,0,0.64223,0,0,0.53514,0,0,0.55352,0,0
